date,rank,model,total_tokens,prompt_tokens,completion_tokens
2026-07-20,1,meta-llama/llama-3.3-70b-instruct,17421802,16961522,460280
2026-07-20,2,kwaipilot/kat-coder-air-v2.5-20260710,7676903,7563469,113434
2026-07-20,3,nvidia/llama-nemotron-embed-vl-1b-v2,36417,36417,0
2026-07-21,1,tencent/hy3-20260706,10875303650907,10688558256020,186745394887
2026-07-21,2,xiaomi/mimo-v2.5-20260422,9428472556414,9349439174641,79033381773
2026-07-21,3,deepseek/deepseek-v4-flash-20260423,5369926670927,5101234960995,268691709932
2026-07-21,4,z-ai/glm-5.2-20260616,3631231997237,3557265984939,73966012298
2026-07-21,5,minimax/minimax-m3-20260531,3225407311407,3186254906369,39152405038
2026-07-21,6,deepseek/deepseek-v4-pro-20260423,2800408434196,2731263504633,69144929563
2026-07-21,7,nvidia/nemotron-3-ultra-550b-a55b-20260604,2705520246255,2689727875580,15792370675
2026-07-21,8,anthropic/claude-4.7-opus-20260416,1930810702552,1908042209896,22768492656
2026-07-21,9,anthropic/claude-4.8-opus-20260528,1905965079839,1884673230360,21291849479
2026-07-21,10,anthropic/claude-sonnet-5-20260630,1131772218290,1117682749739,14089468551
2026-07-22,1,tencent/hy3-20260706,10875303650907,10688558256020,186745394887
2026-07-22,2,xiaomi/mimo-v2.5-20260422,9428472556414,9349439174641,79033381773
2026-07-22,3,deepseek/deepseek-v4-flash-20260423,5369926670927,5101234960995,268691709932
2026-07-22,4,z-ai/glm-5.2-20260616,3631231997237,3557265984939,73966012298
2026-07-22,5,minimax/minimax-m3-20260531,3225407311407,3186254906369,39152405038
2026-07-22,6,deepseek/deepseek-v4-pro-20260423,2800408434196,2731263504633,69144929563
2026-07-22,7,nvidia/nemotron-3-ultra-550b-a55b-20260604,2705520246255,2689727875580,15792370675
2026-07-22,8,anthropic/claude-4.7-opus-20260416,1930810702552,1908042209896,22768492656
2026-07-22,9,anthropic/claude-4.8-opus-20260528,1905965079839,1884673230360,21291849479
2026-07-22,10,anthropic/claude-sonnet-5-20260630,1131772218290,1117682749739,14089468551
