date,type,rank,id,likes,downloads,tag,url
2026-07-22,模型,5,poolside/Laguna-S-2.1,327,3056,text-generation,https://huggingface.co/poolside/Laguna-S-2.1
2026-07-22,資料集,1,openbmb/UltraX-Preview,251,2935,,https://huggingface.co/datasets/openbmb/UltraX-Preview
2026-07-22,資料集,2,SupraLabs/reasoning-corpus-4K-5M-v1,67,443,,https://huggingface.co/datasets/SupraLabs/reasoning-corpus-4K-5M-v1
2026-07-22,資料集,3,FlyRank/internship-warehouse,315,2187,,https://huggingface.co/datasets/FlyRank/internship-warehouse
2026-07-22,資料集,4,markov-ai/gaming-500-hours,202,32029,,https://huggingface.co/datasets/markov-ai/gaming-500-hours
2026-07-22,資料集,5,Glint-Research/Fable-5-traces,652,67452,,https://huggingface.co/datasets/Glint-Research/Fable-5-traces
2026-07-22,Spaces,1,webml-community/bonsai-webgpu-kernels,271,,Text Generation,https://huggingface.co/spaces/webml-community/bonsai-webgpu-kernels
2026-07-22,Spaces,2,ICML-2026-agent-repro/challenge,148,,Other,https://huggingface.co/spaces/ICML-2026-agent-repro/challenge
2026-07-22,Spaces,3,kulkas2pintu/wan555,635,,Video Generation,https://huggingface.co/spaces/kulkas2pintu/wan555
2026-07-22,Spaces,4,smolagents/hf-realtime-voice,449,,Chatbots,https://huggingface.co/spaces/smolagents/hf-realtime-voice
2026-07-22,Spaces,5,loveseries/wanmanlove,150,,Video Generation,https://huggingface.co/spaces/loveseries/wanmanlove
2026-07-22,模型,1,thinkingmachines/Inkling,1419,16441,image-text-to-text,https://huggingface.co/thinkingmachines/Inkling
2026-07-22,模型,2,baidu/Unlimited-OCR,2671,2237351,image-text-to-text,https://huggingface.co/baidu/Unlimited-OCR
2026-07-22,模型,3,prism-ml/Ternary-Bonsai-27B-gguf,920,432196,text-generation,https://huggingface.co/prism-ml/Ternary-Bonsai-27B-gguf
2026-07-22,模型,4,prism-ml/Bonsai-27B-gguf,586,1404962,text-generation,https://huggingface.co/prism-ml/Bonsai-27B-gguf
2026-07-22,模型,5,poolside/Laguna-S-2.1,335,3056,text-generation,https://huggingface.co/poolside/Laguna-S-2.1
2026-07-22,資料集,1,openbmb/UltraX-Preview,251,2935,,https://huggingface.co/datasets/openbmb/UltraX-Preview
2026-07-22,資料集,2,SupraLabs/reasoning-corpus-4K-5M-v1,67,443,,https://huggingface.co/datasets/SupraLabs/reasoning-corpus-4K-5M-v1
2026-07-22,資料集,3,FlyRank/internship-warehouse,315,2187,,https://huggingface.co/datasets/FlyRank/internship-warehouse
2026-07-22,資料集,4,markov-ai/gaming-500-hours,202,32029,,https://huggingface.co/datasets/markov-ai/gaming-500-hours
2026-07-22,資料集,5,Glint-Research/Fable-5-traces,652,67452,,https://huggingface.co/datasets/Glint-Research/Fable-5-traces
2026-07-22,Spaces,1,webml-community/bonsai-webgpu-kernels,271,,Text Generation,https://huggingface.co/spaces/webml-community/bonsai-webgpu-kernels
2026-07-22,Spaces,2,ICML-2026-agent-repro/challenge,148,,Other,https://huggingface.co/spaces/ICML-2026-agent-repro/challenge
2026-07-22,Spaces,3,kulkas2pintu/wan555,635,,Video Generation,https://huggingface.co/spaces/kulkas2pintu/wan555
2026-07-22,Spaces,4,smolagents/hf-realtime-voice,449,,Chatbots,https://huggingface.co/spaces/smolagents/hf-realtime-voice
2026-07-22,Spaces,5,loveseries/wanmanlove,150,,Video Generation,https://huggingface.co/spaces/loveseries/wanmanlove
2026-07-23,模型,1,thinkingmachines/Inkling,1456,16441,image-text-to-text,https://huggingface.co/thinkingmachines/Inkling
2026-07-23,模型,2,baidu/Unlimited-OCR,2723,2237351,image-text-to-text,https://huggingface.co/baidu/Unlimited-OCR
2026-07-23,模型,3,prism-ml/Ternary-Bonsai-27B-gguf,947,432196,text-generation,https://huggingface.co/prism-ml/Ternary-Bonsai-27B-gguf
2026-07-23,模型,4,poolside/Laguna-S-2.1,399,3056,text-generation,https://huggingface.co/poolside/Laguna-S-2.1
2026-07-23,模型,5,DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF,325,62842,image-text-to-text,https://huggingface.co/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF
2026-07-23,模型,6,prism-ml/Bonsai-27B-gguf,597,1404962,text-generation,https://huggingface.co/prism-ml/Bonsai-27B-gguf
2026-07-23,模型,7,zai-org/GLM-5.2,4340,545109,text-generation,https://huggingface.co/zai-org/GLM-5.2
2026-07-23,模型,8,upstage/Solar-Open2-250B,302,0,text-generation,https://huggingface.co/upstage/Solar-Open2-250B
2026-07-23,模型,9,Nanbeige/Nanbeige4.2-3B,236,0,text-generation,https://huggingface.co/Nanbeige/Nanbeige4.2-3B
2026-07-23,模型,10,HauhauCS/Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive,3005,1997690,image-text-to-text,https://huggingface.co/HauhauCS/Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive
2026-07-23,資料集,1,openbmb/UltraX-Preview,254,2935,,https://huggingface.co/datasets/openbmb/UltraX-Preview
2026-07-23,資料集,2,SupraLabs/reasoning-corpus-4K-5M-v1,70,443,,https://huggingface.co/datasets/SupraLabs/reasoning-corpus-4K-5M-v1
2026-07-23,資料集,3,FlyRank/internship-warehouse,318,2187,,https://huggingface.co/datasets/FlyRank/internship-warehouse
2026-07-23,資料集,4,markov-ai/gaming-500-hours,205,32029,,https://huggingface.co/datasets/markov-ai/gaming-500-hours
2026-07-23,資料集,5,Glint-Research/Fable-5-traces,655,67452,,https://huggingface.co/datasets/Glint-Research/Fable-5-traces
2026-07-23,資料集,6,Manusagents/GPT-5.5-Gemini-3.1-Pro-Grok-4-Claude-Fable-5-Mythos-5-Qwen-3.7-Max-and-more-Distillation-Dataset,48,5326,,https://huggingface.co/datasets/Manusagents/GPT-5.5-Gemini-3.1-Pro-Grok-4-Claude-Fable-5-Mythos-5-Qwen-3.7-Max-and-more-Distillation-Dataset
2026-07-23,資料集,7,schema-harness/arc-agi-3-schema-traces,29,920,,https://huggingface.co/datasets/schema-harness/arc-agi-3-schema-traces
2026-07-23,資料集,8,wikimedia/wikipedia,1321,229179,,https://huggingface.co/datasets/wikimedia/wikipedia
2026-07-23,資料集,9,roneneldan/TinyStories,1092,79652,,https://huggingface.co/datasets/roneneldan/TinyStories
2026-07-23,資料集,10,greghavens/kimi-k3-coding-and-debugging-traces,23,82,,https://huggingface.co/datasets/greghavens/kimi-k3-coding-and-debugging-traces
2026-07-23,Spaces,1,webml-community/bonsai-webgpu-kernels,281,,Text Generation,https://huggingface.co/spaces/webml-community/bonsai-webgpu-kernels
2026-07-23,Spaces,2,kulkas2pintu/wan555,653,,Video Generation,https://huggingface.co/spaces/kulkas2pintu/wan555
2026-07-23,Spaces,3,ICML-2026-agent-repro/challenge,156,,Other,https://huggingface.co/spaces/ICML-2026-agent-repro/challenge
2026-07-23,Spaces,4,loveseries/wanmanlove,153,,Video Generation,https://huggingface.co/spaces/loveseries/wanmanlove
2026-07-23,Spaces,5,smolagents/hf-realtime-voice,451,,Chatbots,https://huggingface.co/spaces/smolagents/hf-realtime-voice
2026-07-23,Spaces,6,conradlocke/krea2-identity-edit,102,,Image Editing,https://huggingface.co/spaces/conradlocke/krea2-identity-edit
2026-07-23,Spaces,7,prithivMLmods/Qwen-Image-Edit-2511-LoRAs-Fast,1971,,Image Editing,https://huggingface.co/spaces/prithivMLmods/Qwen-Image-Edit-2511-LoRAs-Fast
2026-07-23,Spaces,8,selfit-camera/Omni-Image-Editor,2193,,Image Editing,https://huggingface.co/spaces/selfit-camera/Omni-Image-Editor
2026-07-23,Spaces,9,baidu/Unlimited-OCR,277,,OCR,https://huggingface.co/spaces/baidu/Unlimited-OCR
2026-07-23,Spaces,10,victor/gemma-avatar,148,,Chatbots,https://huggingface.co/spaces/victor/gemma-avatar
2026-07-23,模型,1,thinkingmachines/Inkling,1463,16441,image-text-to-text,https://huggingface.co/thinkingmachines/Inkling
2026-07-23,模型,2,baidu/Unlimited-OCR,2765,2237351,image-text-to-text,https://huggingface.co/baidu/Unlimited-OCR
2026-07-23,模型,3,prism-ml/Ternary-Bonsai-27B-gguf,952,432196,text-generation,https://huggingface.co/prism-ml/Ternary-Bonsai-27B-gguf
2026-07-23,模型,4,poolside/Laguna-S-2.1,411,3056,text-generation,https://huggingface.co/poolside/Laguna-S-2.1
2026-07-23,模型,5,DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF,334,62842,image-text-to-text,https://huggingface.co/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF
2026-07-23,資料集,1,openbmb/UltraX-Preview,256,2935,,https://huggingface.co/datasets/openbmb/UltraX-Preview
2026-07-23,資料集,2,SupraLabs/reasoning-corpus-4K-5M-v1,72,443,,https://huggingface.co/datasets/SupraLabs/reasoning-corpus-4K-5M-v1
2026-07-23,資料集,3,FlyRank/internship-warehouse,318,2187,,https://huggingface.co/datasets/FlyRank/internship-warehouse
2026-07-23,資料集,4,markov-ai/gaming-500-hours,206,32029,,https://huggingface.co/datasets/markov-ai/gaming-500-hours
2026-07-23,資料集,5,Glint-Research/Fable-5-traces,656,67452,,https://huggingface.co/datasets/Glint-Research/Fable-5-traces
2026-07-23,Spaces,1,webml-community/bonsai-webgpu-kernels,282,,Text Generation,https://huggingface.co/spaces/webml-community/bonsai-webgpu-kernels
2026-07-23,Spaces,2,kulkas2pintu/wan555,657,,Video Generation,https://huggingface.co/spaces/kulkas2pintu/wan555
2026-07-23,Spaces,3,ICML-2026-agent-repro/challenge,162,,Other,https://huggingface.co/spaces/ICML-2026-agent-repro/challenge
2026-07-23,Spaces,4,loveseries/wanmanlove,155,,Video Generation,https://huggingface.co/spaces/loveseries/wanmanlove
2026-07-23,Spaces,5,conradlocke/krea2-identity-edit,103,,Image Editing,https://huggingface.co/spaces/conradlocke/krea2-identity-edit
2026-07-23,模型,1,thinkingmachines/Inkling,1467,16441,image-text-to-text,https://huggingface.co/thinkingmachines/Inkling
2026-07-23,模型,2,baidu/Unlimited-OCR,2770,2237351,image-text-to-text,https://huggingface.co/baidu/Unlimited-OCR
2026-07-23,模型,3,prism-ml/Ternary-Bonsai-27B-gguf,953,432196,text-generation,https://huggingface.co/prism-ml/Ternary-Bonsai-27B-gguf
2026-07-23,模型,4,poolside/Laguna-S-2.1,412,3056,text-generation,https://huggingface.co/poolside/Laguna-S-2.1
2026-07-23,模型,5,DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF,335,62842,image-text-to-text,https://huggingface.co/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF
2026-07-23,模型,6,prism-ml/Bonsai-27B-gguf,602,1404962,text-generation,https://huggingface.co/prism-ml/Bonsai-27B-gguf
2026-07-23,模型,7,upstage/Solar-Open2-250B,346,0,text-generation,https://huggingface.co/upstage/Solar-Open2-250B
2026-07-23,模型,8,zai-org/GLM-5.2,4345,545109,text-generation,https://huggingface.co/zai-org/GLM-5.2
2026-07-23,模型,9,Nanbeige/Nanbeige4.2-3B,247,0,text-generation,https://huggingface.co/Nanbeige/Nanbeige4.2-3B
2026-07-23,模型,10,HauhauCS/Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive,3011,1997690,image-text-to-text,https://huggingface.co/HauhauCS/Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive
2026-07-23,資料集,1,openbmb/UltraX-Preview,257,2935,,https://huggingface.co/datasets/openbmb/UltraX-Preview
2026-07-23,資料集,2,SupraLabs/reasoning-corpus-4K-5M-v1,74,443,,https://huggingface.co/datasets/SupraLabs/reasoning-corpus-4K-5M-v1
2026-07-23,資料集,3,FlyRank/internship-warehouse,318,2187,,https://huggingface.co/datasets/FlyRank/internship-warehouse
2026-07-23,資料集,4,markov-ai/gaming-500-hours,206,32029,,https://huggingface.co/datasets/markov-ai/gaming-500-hours
2026-07-23,資料集,5,Glint-Research/Fable-5-traces,656,67452,,https://huggingface.co/datasets/Glint-Research/Fable-5-traces
2026-07-23,資料集,6,Manusagents/GPT-5.5-Gemini-3.1-Pro-Grok-4-Claude-Fable-5-Mythos-5-Qwen-3.7-Max-and-more-Distillation-Dataset,50,5326,,https://huggingface.co/datasets/Manusagents/GPT-5.5-Gemini-3.1-Pro-Grok-4-Claude-Fable-5-Mythos-5-Qwen-3.7-Max-and-more-Distillation-Dataset
2026-07-23,資料集,7,schema-harness/arc-agi-3-schema-traces,29,920,,https://huggingface.co/datasets/schema-harness/arc-agi-3-schema-traces
2026-07-23,資料集,8,wikimedia/wikipedia,1322,229179,,https://huggingface.co/datasets/wikimedia/wikipedia
2026-07-23,資料集,9,roneneldan/TinyStories,1094,79652,,https://huggingface.co/datasets/roneneldan/TinyStories
2026-07-23,資料集,10,LiquidAI/antidoom-mix-v1.0,112,827,,https://huggingface.co/datasets/LiquidAI/antidoom-mix-v1.0
2026-07-23,Spaces,1,webml-community/bonsai-webgpu-kernels,285,,Text Generation,https://huggingface.co/spaces/webml-community/bonsai-webgpu-kernels
2026-07-23,Spaces,2,kulkas2pintu/wan555,660,,Video Generation,https://huggingface.co/spaces/kulkas2pintu/wan555
2026-07-23,Spaces,3,ICML-2026-agent-repro/challenge,162,,Other,https://huggingface.co/spaces/ICML-2026-agent-repro/challenge
2026-07-23,Spaces,4,loveseries/wanmanlove,156,,Video Generation,https://huggingface.co/spaces/loveseries/wanmanlove
2026-07-23,Spaces,5,conradlocke/krea2-identity-edit,103,,Image Editing,https://huggingface.co/spaces/conradlocke/krea2-identity-edit
2026-07-23,Spaces,6,prithivMLmods/Qwen-Image-Edit-2511-LoRAs-Fast,1972,,Image Editing,https://huggingface.co/spaces/prithivMLmods/Qwen-Image-Edit-2511-LoRAs-Fast
2026-07-23,Spaces,7,smolagents/hf-realtime-voice,451,,Chatbots,https://huggingface.co/spaces/smolagents/hf-realtime-voice
2026-07-23,Spaces,8,selfit-camera/Omni-Image-Editor,2194,,Image Editing,https://huggingface.co/spaces/selfit-camera/Omni-Image-Editor
2026-07-23,Spaces,9,baidu/Unlimited-OCR,278,,OCR,https://huggingface.co/spaces/baidu/Unlimited-OCR
2026-07-23,Spaces,10,victor/gemma-avatar,148,,Chatbots,https://huggingface.co/spaces/victor/gemma-avatar
2026-07-23,模型,1,thinkingmachines/Inkling,1468,16441,image-text-to-text,https://huggingface.co/thinkingmachines/Inkling
2026-07-23,模型,2,baidu/Unlimited-OCR,2771,2237351,image-text-to-text,https://huggingface.co/baidu/Unlimited-OCR
2026-07-23,模型,3,prism-ml/Ternary-Bonsai-27B-gguf,953,432196,text-generation,https://huggingface.co/prism-ml/Ternary-Bonsai-27B-gguf
2026-07-23,模型,4,poolside/Laguna-S-2.1,413,3056,text-generation,https://huggingface.co/poolside/Laguna-S-2.1
2026-07-23,模型,5,DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF,337,62842,image-text-to-text,https://huggingface.co/DavidAU/Qwen3.6-27B-Fable-Fusion-711-Uncensored-Heretic-NM-DAU-NEO-MAX-MTP-GGUF
2026-07-23,模型,6,upstage/Solar-Open2-250B,349,0,text-generation,https://huggingface.co/upstage/Solar-Open2-250B
2026-07-23,模型,7,prism-ml/Bonsai-27B-gguf,602,1404962,text-generation,https://huggingface.co/prism-ml/Bonsai-27B-gguf
2026-07-23,模型,8,zai-org/GLM-5.2,4346,545109,text-generation,https://huggingface.co/zai-org/GLM-5.2
2026-07-23,模型,9,Nanbeige/Nanbeige4.2-3B,250,0,text-generation,https://huggingface.co/Nanbeige/Nanbeige4.2-3B
2026-07-23,模型,10,HauhauCS/Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive,3011,1997690,image-text-to-text,https://huggingface.co/HauhauCS/Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive
2026-07-23,資料集,1,openbmb/UltraX-Preview,257,2935,,https://huggingface.co/datasets/openbmb/UltraX-Preview
2026-07-23,資料集,2,SupraLabs/reasoning-corpus-4K-5M-v1,74,443,,https://huggingface.co/datasets/SupraLabs/reasoning-corpus-4K-5M-v1
2026-07-23,資料集,3,FlyRank/internship-warehouse,318,2187,,https://huggingface.co/datasets/FlyRank/internship-warehouse
2026-07-23,資料集,4,markov-ai/gaming-500-hours,206,32029,,https://huggingface.co/datasets/markov-ai/gaming-500-hours
2026-07-23,資料集,5,Glint-Research/Fable-5-traces,656,67452,,https://huggingface.co/datasets/Glint-Research/Fable-5-traces
2026-07-23,資料集,6,Manusagents/GPT-5.5-Gemini-3.1-Pro-Grok-4-Claude-Fable-5-Mythos-5-Qwen-3.7-Max-and-more-Distillation-Dataset,50,5326,,https://huggingface.co/datasets/Manusagents/GPT-5.5-Gemini-3.1-Pro-Grok-4-Claude-Fable-5-Mythos-5-Qwen-3.7-Max-and-more-Distillation-Dataset
2026-07-23,資料集,7,schema-harness/arc-agi-3-schema-traces,29,920,,https://huggingface.co/datasets/schema-harness/arc-agi-3-schema-traces
2026-07-23,資料集,8,wikimedia/wikipedia,1322,229179,,https://huggingface.co/datasets/wikimedia/wikipedia
2026-07-23,資料集,9,roneneldan/TinyStories,1094,79652,,https://huggingface.co/datasets/roneneldan/TinyStories
2026-07-23,資料集,10,LiquidAI/antidoom-mix-v1.0,112,827,,https://huggingface.co/datasets/LiquidAI/antidoom-mix-v1.0
2026-07-23,Spaces,1,webml-community/bonsai-webgpu-kernels,287,,Text Generation,https://huggingface.co/spaces/webml-community/bonsai-webgpu-kernels
2026-07-23,Spaces,2,kulkas2pintu/wan555,663,,Video Generation,https://huggingface.co/spaces/kulkas2pintu/wan555
2026-07-23,Spaces,3,ICML-2026-agent-repro/challenge,163,,Other,https://huggingface.co/spaces/ICML-2026-agent-repro/challenge
2026-07-23,Spaces,4,loveseries/wanmanlove,156,,Video Generation,https://huggingface.co/spaces/loveseries/wanmanlove
2026-07-23,Spaces,5,conradlocke/krea2-identity-edit,103,,Image Editing,https://huggingface.co/spaces/conradlocke/krea2-identity-edit
2026-07-23,Spaces,6,prithivMLmods/Qwen-Image-Edit-2511-LoRAs-Fast,1972,,Image Editing,https://huggingface.co/spaces/prithivMLmods/Qwen-Image-Edit-2511-LoRAs-Fast
2026-07-23,Spaces,7,smolagents/hf-realtime-voice,451,,Chatbots,https://huggingface.co/spaces/smolagents/hf-realtime-voice
2026-07-23,Spaces,8,selfit-camera/Omni-Image-Editor,2194,,Image Editing,https://huggingface.co/spaces/selfit-camera/Omni-Image-Editor
2026-07-23,Spaces,9,baidu/Unlimited-OCR,278,,OCR,https://huggingface.co/spaces/baidu/Unlimited-OCR
2026-07-23,Spaces,10,victor/gemma-avatar,148,,Chatbots,https://huggingface.co/spaces/victor/gemma-avatar
2026-07-24,模型,1,baidu/Unlimited-OCR,2904,2414259,image-text-to-text,https://huggingface.co/baidu/Unlimited-OCR
